"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Ratio..g.ml.","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","Name.3","Ratio..g.ml..4","Disintegration.time.s."
477.05,5,1,3,7,43.8,34,623,-5.7,1.51,2,15,1,3.5,0,0,0,0,9.5
477.05,5,1,3,7,43.8,34,623,-5.7,1.51,2,12.5,1,3.5,0,0,0,0,10.6
477.05,5,1,3,7,43.8,34,623,-5.7,1.51,2,15,1,3.5,0,0,0,0,12.9
477.05,5,1,3,7,43.8,34,623,-5.7,1.51,2,17.5,1,3.5,0,0,0,0,14.3
477.05,5,1,3,7,43.8,34,623,-5.7,0.91,8,12,0,0,0,0,0,0,34.5
477.05,5,1,3,7,43.8,34,623,-5.7,0.91,8,12,1,0.1,0,0,0,0,33.5
477.05,5,1,3,7,43.8,34,623,-5.7,0.91,8,12,1,0.3,0,0,0,0,16.2
477.05,5,1,3,7,43.8,34,623,-5.7,0.91,8,16,1,0.3,0,0,0,0,59.5
477.05,5,1,3,7,43.8,34,623,-5.7,0.91,8,12,1,0.1,0,0,0,0,39
477.05,5,1,3,7,43.8,34,623,-5.7,0.91,8,12,1,0.1,0,0,0,0,30.4
477.05,5,1,3,7,43.8,34,623,-5.7,0.91,8,12,1,0.1,0,0,0,0,24.5
477.05,5,1,3,7,43.8,34,623,-5.7,0.91,9,12,1,0.3,0,0,0,0,24.8
477.05,5,1,3,7,43.8,34,623,-5.7,0.91,9,14,1,0.1,0,0,0,0,27
309.43,3.2,0,3,0,48.6,22,476,-4.6,0.47,11,1,1,0.5,0,0,0,0,38.8
309.43,3.2,0,3,0,48.6,22,476,-4.6,0.47,11,1,1,0.5,0,0,1,0.15,40.78
309.43,3.2,0,3,0,48.6,22,476,-4.6,0.47,11,1,1,0.5,0,0,1,0.3,48.93
309.43,3.2,0,3,0,48.6,22,476,-4.6,0.47,11,1.5,1,0.5,0,0,1,0.15,42.78
309.43,3.2,0,3,0,48.6,22,476,-4.6,0.47,11,2,1,0.5,0,0,0,0,64.43
309.43,3.2,0,3,0,48.6,22,476,-4.6,0.47,11,2,1,0.5,0,0,1,0.15,64.07
309.43,3.2,0,3,0,48.6,22,476,-4.6,0.47,11,2,1,0.5,0,0,1,0.3,58.5
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,0.5,3,0.05,0,0,0,0,9
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,0.5,3,0.1,0,0,0,0,4
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,1,2,0.1,0,0,0,0,21
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,1,1,0.1,0,0,0,0,27
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,1,2,0.2,0,0,0,0,18
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,1,3,0.2,0,0,0,0,10
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,1,1,0.2,0,0,0,0,22
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,12,0.5,2,0.05,0,0,0,0,34
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,12,0.5,3,0.05,0,0,0,0,28
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,12,0.5,1,0.05,0,0,0,0,39
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,12,0.5,3,0.1,0,0,0,0,21
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,12,0.5,1,0.1,0,0,0,0,33
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,12,1,2,0.1,0,0,0,0,51
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,12,1,1,0.1,0,0,0,0,49
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,12,1,2,0.2,0,0,0,0,46
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,12,1,3,0.2,0,0,0,0,38
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,12,1,1,0.2,0,0,0,0,43
421.89,2.8,2,6,7,76.8,29,521,-2.94,0.1,3,0.68,1,0.53,1,0.5,1,0.29,6
271.4,3.4,0,2,1,12.5,20,370,-4.5,0.11,3,1.41,3,0.4,0,0,2,0.06,44
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,3,17.1,0,0,0,0,30
351.4,3,2,7,2,136,23,628,-3.4,2.5,5,10,0,0,3,12.5,0,0,53
295.4,0.9,2,4,6,73.6,20,405,-3.4,16.67,3,4,2,1.35,2,0.5,0,0,46
295.4,0.9,2,4,6,73.6,20,405,-3.4,16.67,6,3,2,1.35,2,1.5,0,0,42
477.05,5,1,3,7,43.8,34,623,-5.7,1.51,2,17.5,1,3.5,0,0,0,0,14.6
477.05,5,1,3,7,43.8,34,623,-5.7,0.91,8,10,1,0.1,0,0,0,0,30.7
477.05,5,1,3,7,43.8,34,623,-5.7,0.91,9,12,1,0.1,0,0,0,0,26.8
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,0.5,1,0.05,0,0,0,0,23
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,1,1,3,0.1,0,0,0,0,14
312.44,2.8,1,5,1,56.2,22,543,-3.5,1,12,0.5,2,0.1,0,0,0,0,26
167.21,-0.3,3,3,3,52.5,12,130,-0.88,2.96,3,5.56,2,0.61,0,0,0,0,5.52
167.21,-0.3,3,3,3,52.5,12,130,-0.88,1,3,7.5,2,0.83,0,0,0,0,20.43
434.52,4.5,1,7,5,52,30,592,-5.2,0.03,1,1,1,12.6,0,0,0,0,15
434.52,4.5,1,7,5,52,30,592,-5.2,0.03,1,4,1,7.56,0,0,0,0,40.3
267.36,1.9,2,4,9,50.7,19,215,-2.8,0.7,7,0.8,3,0.6,0,0,0,0,89
267.36,1.9,2,4,9,50.7,19,215,-2.8,0.7,7,0.8,3,0.6,0,0,3,0.06,38.33
436.95,1.2,2,6,8,95.1,29,654,-5.3,0.62,10,3,2,7.5,0,0,0,0,62.67
436.95,1.2,2,6,8,95.1,29,654,-5.3,0.62,10,3,2,7.5,0,0,0,0,45
167.21,-0.3,3,3,3,52.5,12,130,-0.88,1.74,3,6.52,2,0.72,0,0,0,0,15
434.52,4.5,1,7,5,52,30,592,-5.2,0.03,1,2,1,10.08,0,0,0,0,24
267.36,1.9,2,4,9,50.7,19,215,-2.8,0.7,7,0.8,3,0.6,0,0,3,0.03,64.33
436.95,1.2,2,6,8,95.1,29,654,-5.3,0.62,10,1.5,2,7.5,0,0,0,0,60
