16.67 ,295.4,0.9,2,4,6,73.6,20,405,-3.4,6,9.00 ,2,1.35 ,2,0.5,46
16.67 ,295.4,0.9,2,4,6,73.6,20,405,-3.4,6,9.00 ,2,1.35 ,2,1.5,32
2.96 ,167.21,-0.3,3,3,3,52.5,12,130,-0.88,3,5.56 ,2,0.61 ,0,0,5.52
1.00 ,167.21,-0.3,3,3,3,52.5,12,130,-0.88,3,7.50 ,2,0.83 ,0,0,20.43
0.03 ,434.52,4.5,1,7,5,52,30,592,-5.2,1,1.00 ,1,12.60 ,0,0,15
0.10 ,421.89,2.8,2,6,7,76.8,29,521,-2.94,3,0.89 ,2,0.40 ,1,0.5,9
0.03 ,434.52,4.5,1,7,5,52,30,592,-5.2,1,4.00 ,1,7.56 ,0,0,40.3
0.70 ,267.36,1.9,2,4,9,50.7,19,215,-2.8,7,0.80 ,3,0.60 ,0,0,89
0.70 ,267.36,1.9,2,4,9,50.7,19,215,-2.8,7,0.80 ,3,0.60 ,0,0,64.33
1.51 ,477.05,5,1,3,7,43.8,34,623,-5.7,2,12.50 ,1,3.50 ,0,0,7.7
1.51 ,477.05,5,1,3,7,43.8,34,623,-5.7,2,15.00 ,1,3.50 ,0,0,10.9
1.51 ,477.05,5,1,3,7,43.8,34,623,-5.7,2,17.50 ,1,3.50 ,0,0,11.1
1.51 ,477.05,5,1,3,7,43.8,34,623,-5.7,2,12.50 ,1,3.50 ,0,0,10.7
1.51 ,477.05,5,1,3,7,43.8,34,623,-5.7,2,17.50 ,1,3.50 ,0,0,14.6
1.51 ,477.05,5,1,3,7,43.8,34,623,-5.7,2,12.50 ,1,3.50 ,0,0,8.8
1.51 ,477.05,5,1,3,7,43.8,34,623,-5.7,2,15.00 ,1,3.50 ,0,0,9.5
1.51 ,477.05,5,1,3,7,43.8,34,623,-5.7,2,12.50 ,1,3.50 ,0,0,10.6
1.51 ,477.05,5,1,3,7,43.8,34,623,-5.7,2,15.00 ,1,3.50 ,0,0,12.9
1.51 ,477.05,5,1,3,7,43.8,34,623,-5.7,2,17.50 ,1,3.50 ,0,0,14.3
0.91 ,477.05,5,1,3,7,43.8,34,623,-5.7,8,12.00 ,0,0.00 ,0,0,34.5
0.91 ,477.05,5,1,3,7,43.8,34,623,-5.7,8,12.00 ,1,0.10 ,0,0,33.5
0.91 ,477.05,5,1,3,7,43.8,34,623,-5.7,8,12.00 ,1,0.30 ,0,0,16.2
0.91 ,477.05,5,1,3,7,43.8,34,623,-5.7,8,16.00 ,1,0.30 ,0,0,59.5
0.91 ,477.05,5,1,3,7,43.8,34,623,-5.7,8,10.00 ,1,0.10 ,0,0,30.7
0.91 ,477.05,5,1,3,7,43.8,34,623,-5.7,8,12.00 ,1,0.10 ,0,0,39
0.91 ,477.05,5,1,3,7,43.8,34,623,-5.7,8,12.00 ,1,0.10 ,0,0,30.4
0.91 ,477.05,5,1,3,7,43.8,34,623,-5.7,8,12.00 ,1,0.10 ,0,0,24.5
0.91 ,477.05,5,1,3,7,43.8,34,623,-5.7,9,12.00 ,1,0.30 ,0,0,24.8
0.91 ,477.05,5,1,3,7,43.8,34,623,-5.7,9,12.00 ,1,0.10 ,0,0,26.8
0.47 ,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,1.00 ,1,0.50 ,0,0,38.8
0.47 ,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,1.00 ,1,0.50 ,0,0,48.93
0.47 ,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,1.50 ,1,0.50 ,0,0,49.6
0.47 ,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,1.50 ,1,0.50 ,0,0,42.78
0.47 ,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,1.50 ,1,0.50 ,0,0,53.87
0.47 ,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,2.00 ,1,0.50 ,0,0,64.07
0.47 ,309.43,3.2,0,3,0,48.6,22,476,-4.6,11,2.00 ,1,0.50 ,0,0,58.5
0.62 ,436.95,1.2,2,6,8,95.1,29,654,-5.3,10,3.00 ,2,7.50 ,0,0,62.67
0.62 ,436.95,1.2,2,6,8,95.1,29,654,-5.3,10,3.00 ,2,7.50 ,0,0,45
