"Molecular Weight?g/mol?","Topological Polar Surface Area","Rotatable Bond Count","Hydrogen Bond Donor Count","Hydrogen Bond Acceptor Count","Heavy Atom Count","Complexity","Covalently-Bonded Unit Count","Melting Point","y"
0.206194893245872,0.129317269076305,0.115384615384615,0,0.192307692307692,0.21978021978022,0.143167701863354,0,0.272453587556448,0.00204608221345595
0.232956234504467,0.236947791164659,0.0769230769230769,0.166666666666667,0.192307692307692,0.21978021978022,0.175155279503106,0,0.318866031108881,0.00204317893965182
0.159378201907073,0.182730923694779,0.269230769230769,0.111111111111111,0.192307692307692,0.164835164835165,0.0732919254658385,0,0.135725037631711,0.00461257625630101
0.227360866527537,0.216867469879518,0.0769230769230769,0.111111111111111,0.230769230769231,0.230769230769231,0.189751552795031,0,0.268690416457602,0.00200797674477683
0.200240383527164,0.147791164658635,0.230769230769231,0.111111111111111,0.153846153846154,0.197802197802198,0.125776397515528,0,0.232313095835424,0.00976588725862
1,0.955823293172691,1,0.5,0.807692307692308,1,1,0.4,0.395383843452082,0.00653599515153275
0.751386392753184,0.773092369477912,0.153846153846154,0.888888888888889,0.769230769230769,0.747252747252747,0.297515527950311,1,0.271199197190166,0.00222826264466469
0.286931616696168,0.339357429718876,0.269230769230769,0.111111111111111,0.461538461538462,0.252747252747253,0.0909937888198758,1,0.316357250376317,0.364908855348012
0.674586647472201,0.642570281124498,0.115384615384615,0.666666666666667,0.692307692307692,0.692307692307692,0.518633540372671,0,0.232313095835424,0.00227181175172654
0.114809164452211,0.242971887550201,0.192307692307692,0.333333333333333,0.230769230769231,0.10989010989011,0.0326086956521739,0,0.158304064224787,1
0.849081246010584,0.459839357429719,0.846153846153846,0.333333333333333,0.461538461538462,0.89010989010989,0.253726708074534,0.4,0.21970647265429,0.00244600817997394
0.0610933300738957,0,0,0,0.0769230769230769,0.010989010989011,0,0.4,1,0.272367002841579
0.654721431255291,0.913654618473896,0.884615384615385,1,0.615384615384615,0.637362637362637,0.254347826086956,0.4,0.343953838434521,0.00228995721300231
0.41248183542556,0.457831325301205,0.384615384615385,0.555555555555556,0.461538461538462,0.406593406593407,0.0959627329192547,0.4,0.20471650777722,0.00711664991235742
0.590027629770134,0.345381526104418,0.423076923076923,0.0555555555555556,0.5,0.615384615384615,0.447204968944099,0,0.247365780230808,0.0021085026002446
0.801449695257669,0.827309236947791,0.576923076923077,0.777777777777778,1,0.802197802197802,0.490683229813665,0.2,0.258655293527346,0.00272544828362082
0.340943214861829,0.0150602409638554,0.192307692307692,0.166666666666667,0.115384615384615,0.318681318681319,0.139130434782609,0.6,0.295659809332664,0.00199999274181549
0.752206533663502,0.618473895582329,0.769230769230769,0.722222222222222,0.730769230769231,0.758241758241758,0.172981366459627,0.8,0.162694430506774,0.00199984140866845
0.505399952617434,0.269076305220884,0.884615384615385,0.222222222222222,0.307692307692308,0.472527472527473,0.251552795031056,0.2,0.197190165579528,0.00201073485489075
0.585922398221796,0.550200803212851,0.0384615384615385,0.388888888888889,0.615384615384615,0.450549450549451,0.326086956521739,0.6,0.357752132463623,0.00291779017314399
0.567191949188989,1,0.384615384615385,0.944444444444444,0.961538461538462,0.527472527472527,0.279503105590062,0.4,0.274335173105871,0.069137836552943
0.0105984538797117,0.0405622489959839,0,0.0555555555555556,0.0384615384615385,0.010989010989011,0.00319875776397516,0,0.131334671349724,0.364908855348012
0.363916214344242,0.345381526104418,0.230769230769231,0.0555555555555556,0.423076923076923,0.373626373626374,0.255900621118012,0.4,0.321374811841445,0.00207584076994821
0.456859984517671,0.522088353413655,0.730769230769231,0.166666666666667,0.692307692307692,0.450549450549451,0.253726708074534,0.2,0.367787255393879,0.00686261345449663
0.542989115590826,0.16144578313253,0.307692307692308,0.277777777777778,0.423076923076923,0.538461538461538,0.124844720496894,0.8,0.205343702960361,0.364908855348012
0.479655676627569,0.463855421686747,0.115384615384615,0.388888888888889,0.538461538461538,0.494505494505495,0.37888198757764,0,0.382839939789262,0.0034875576572032
0.235623390086783,0.381526104417671,0.192307692307692,0.444444444444444,0.423076923076923,0.230769230769231,0.122670807453416,0,0.231058705469142,0.279262278126372
0.69353514684823,0.257028112449799,0.461538461538462,0.222222222222222,0.384615384615385,0.758241758241758,0.266770186335404,0.4,0.237957852483693,0.00200623478049435
0.214399320346889,0.265060240963855,0.0769230769230769,0.444444444444444,0.192307692307692,0.186813186813187,0.125776397515528,0.4,0.335800301053688,0.00925781434289841
0.377336496195059,0.093574297188755,0.615384615384615,0,0.192307692307692,0.384615384615385,0.206521739130435,0,0.209106874059207,0.00200471056174719
0.270456366541872,0.200803212851406,0.346153846153846,0.111111111111111,0.269230769230769,0.285714285714286,0.114596273291925,0.2,0.0504264927245359,0.364908855348012
0.261259772654224,0.163855421686747,0,0,0.192307692307692,0.274725274725275,0.162111801242236,0.4,0.414199698946312,0.219745165141843
