"MW.g.mol.","melting.point......","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Polymers","Drug.loading.ratio","Preparation.method.hot.melt.extrution.1.1..solvent.evaporation.2.2..","temperature......","Relative.Humidity.....","X3month..stabable.1..not.stable.0..","X6month..stabable.1..not.stable.0.."
0.271371415404596,0.406340057636888,0.455696202531646,0.25,0.272727272727273,0.333333333333333,0.468380820013899,0.25,0.271648873072361,0.175757575757576,0.642857142857143,0.0909090909090909,0,0.181034482758621,0.5,1,1
0,1,0.236708860759494,0,0.181818181818182,0.666666666666667,0.184850590687978,0.375,0.263345195729537,0.278787878787879,0.0714285714285714,0.0707070707070707,1,0.181034482758621,0,1,1
0.739060307086449,0.919308357348703,0.556962025316456,0.5,0.727272727272727,0.916666666666667,0.791521890201529,0.71875,0.736654804270463,0.224242424242424,0,0.0707070707070707,1,0.310344827586207,0.75,0,0
0.225413184189028,0.440922190201729,0.531645569620253,0.25,0.181818181818182,0.416666666666667,0.454482279360667,0.15625,0.160142348754448,0.224242424242424,0.785714285714286,0.0101010101010101,1,0.0172413793103448,0,1,1
0.247365885334841,0.53314121037464,0.253164556962025,0.25,0.545454545454545,0.416666666666667,0.75677553856845,0.25,0.392645314353499,0.23030303030303,0.571428571428571,0.0101010101010101,0,0.310344827586207,0.33,0,0
0.271371415404596,0.406340057636888,0.455696202531646,0.25,0.272727272727273,0.333333333333333,0.468380820013899,0.25,0.271648873072361,0.175757575757576,0.857142857142857,0.0505050505050505,0,0.310344827586207,0.75,0,0
0,1,0.236708860759494,0,0.181818181818182,0.666666666666667,0.184850590687978,0.375,0.263345195729537,0.278787878787879,0.142857142857143,0.0505050505050505,1,0.396551724137931,0,1,0
1,0.493948126801153,0.632911392405063,0,0.727272727272727,0.916666666666667,0,1,1,0.193939393939394,0.0714285714285714,0.0303030303030303,1,0.181034482758621,0.6,1,1
0,1,0.236708860759494,0,0.181818181818182,0.666666666666667,0.184850590687978,0.375,0.263345195729537,0.278787878787879,0.0714285714285714,0.0707070707070707,1,0.741379310344828,0,0,0
0.00837889356710446,0.538904899135447,0.10126582278481,0.5,0.181818181818182,0.166666666666667,0.515635858234885,0,0.0735468564650059,0.315151515151515,0.857142857142857,0.181818181818182,1,0.267241379310345,0,1,1
0.739060307086449,0.919308357348703,0.556962025316456,0.5,0.727272727272727,0.916666666666667,0.791521890201529,0.71875,0.736654804270463,0.224242424242424,1,0.0707070707070707,1,0.310344827586207,0.75,0,0
0.0168206288359622,0.717579250720461,0.227848101265823,0.25,0,0,0.31410701876303,0.03125,0.0581257413997628,0.296969696969697,0.285714285714286,0.131313131313131,0,0.310344827586207,0,0,0
0.00423134125138772,0.417867435158501,0.329113924050633,0.25,0.181818181818182,0.25,0.315496872828353,0,0,0.238787878787879,0.857142857142857,0.0909090909090909,1,0.181034482758621,0.75,0,0
0.271371415404596,0.406340057636888,0.455696202531646,0.25,0.272727272727273,0.333333333333333,0.468380820013899,0.25,0.271648873072361,0.175757575757576,0,0.151515151515152,1,0.181034482758621,0.75,0,0
0.247365885334841,0.53314121037464,0.253164556962025,0.25,0.545454545454545,0.416666666666667,0.75677553856845,0.25,0.392645314353499,0.23030303030303,0.571428571428571,0.0101010101010101,0,0.310344827586207,0.11,0,0
