"MW.g.mol.","melting.point......","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Polymers","Drug.loading.ratio","Preparation.method.hot.melt.extrution.1.1..solvent.evaporation.2.2..","temperature......","Relative.Humidity.....","X3month..stabable.1..not.stable.0..","X6month..stabable.1..not.stable.0.."
1,0.493948126801153,0.632911392405063,0,0.727272727272727,0.916666666666667,0,1,1,0.193939393939394,0,0.0707070707070707,1,0.310344827586207,0.75,1,1
0.739060307086449,0.919308357348703,0.556962025316456,0.5,0.727272727272727,0.916666666666667,0.791521890201529,0.71875,0.736654804270463,0.224242424242424,0.142857142857143,0.0707070707070707,1,0.310344827586207,0.75,1,1
0.739060307086449,0.919308357348703,0.556962025316456,0.5,0.727272727272727,0.916666666666667,0.791521890201529,0.71875,0.736654804270463,0.224242424242424,0.214285714285714,0.0707070707070707,1,0.310344827586207,0.75,1,1
0.326797796350992,0.371757925072046,0.405063291139241,0.25,0.363636363636364,0.5,0.441278665740097,0.25,0.399762752075919,0.206060606060606,0.285714285714286,0.0101010101010101,0,0.310344827586207,0.75,1,1
0.326797796350992,0.371757925072046,0.405063291139241,0.25,0.363636363636364,0.5,0.441278665740097,0.25,0.399762752075919,0.206060606060606,0.285714285714286,0.0101010101010101,0,0.181034482758621,0.75,1,1
0.326797796350992,0.371757925072046,0.405063291139241,0.25,0.363636363636364,0.5,0.441278665740097,0.25,0.399762752075919,0.206060606060606,0.285714285714286,0.0101010101010101,0,0.310344827586207,0,1,1
0.326797796350992,0.371757925072046,0.405063291139241,0.25,0.363636363636364,0.5,0.441278665740097,0.25,0.399762752075919,0.206060606060606,0.285714285714286,0.0101010101010101,0,0.181034482758621,0,1,1
0.326797796350992,0.371757925072046,0.405063291139241,0.25,0.363636363636364,0.5,0.441278665740097,0.25,0.399762752075919,0.206060606060606,0.285714285714286,0.131313131313131,0,0.310344827586207,0.75,0,0
0.326797796350992,0.371757925072046,0.405063291139241,0.25,0.363636363636364,0.5,0.441278665740097,0.25,0.399762752075919,0.206060606060606,0.285714285714286,0.131313131313131,0,0.181034482758621,0.75,0,0
0.326797796350992,0.371757925072046,0.405063291139241,0.25,0.363636363636364,0.5,0.441278665740097,0.25,0.399762752075919,0.206060606060606,0.285714285714286,0.131313131313131,0,0.310344827586207,0,0,0
0.326797796350992,0.371757925072046,0.405063291139241,0.25,0.363636363636364,0.5,0.441278665740097,0.25,0.399762752075919,0.206060606060606,0.285714285714286,0.131313131313131,0,0.181034482758621,0,0,0
0.277739374515595,0,0.569620253164557,0,0.272727272727273,0.583333333333333,0.357887421820709,0.25,0.214709371293001,0.145454545454545,0.285714285714286,0.0101010101010101,0,0.310344827586207,0.75,0,0
0.277739374515595,0,0.569620253164557,0,0.272727272727273,0.583333333333333,0.357887421820709,0.25,0.214709371293001,0.145454545454545,0.285714285714286,0.0101010101010101,0,0.181034482758621,0.75,0,0
0.277739374515595,0,0.569620253164557,0,0.272727272727273,0.583333333333333,0.357887421820709,0.25,0.214709371293001,0.145454545454545,0.285714285714286,0.0101010101010101,0,0.310344827586207,0,0,0
0.277739374515595,0,0.569620253164557,0,0.272727272727273,0.583333333333333,0.357887421820709,0.25,0.214709371293001,0.145454545454545,0.285714285714286,0.0101010101010101,0,0.181034482758621,0,0,0
0.277739374515595,0,0.569620253164557,0,0.272727272727273,0.583333333333333,0.357887421820709,0.25,0.214709371293001,0.145454545454545,0.285714285714286,0.131313131313131,0,0.310344827586207,0.75,0,0
0.277739374515595,0,0.569620253164557,0,0.272727272727273,0.583333333333333,0.357887421820709,0.25,0.214709371293001,0.145454545454545,0.285714285714286,0.131313131313131,0,0.181034482758621,0.75,0,0
