705.63,166.2,5.7,0,9,11,1.1,49,1120,7.31,-4.9,197,50000,254,102,0,3,3,46.6,14,186,0.4,2,40,75,1
705.63,166.2,5.7,0,9,11,1.1,49,1120,7.31,-4.9,1261,80000,13513,175,8,30,40,365,86,1480,0.2,2,25,60,1
581.06,240,5.1,2,9,11,115,40,898,4.64,-4.4,197,50000,254,102,0,3,3,46.6,14,186,0.4,2,40,75,0
581.06,240,5.1,2,9,11,115,40,898,4.64,-4.4,286,18000,63,128,6,9,4,173,19,147,0.4,2,40,75,1
581.06,240,5.1,2,9,11,115,40,898,4.64,-4.4,315,11000,35,135,8,4,6,145.68,86,1480,0.4,2,40,75,1
384.25,145,3.9,1,5,6,64.6,25,614,3.44,-4.7,400,47000,117,48,0,7,12,82.1,28,374,0.1,1,40,75,1
384.25,145,3.9,1,5,6,64.6,25,614,3.44,-4.7,400,47000,117,48,0,7,12,82.1,28,374,0.1,1,25,75,1
384.25,145,3.9,1,5,6,64.6,25,614,3.44,-4.7,400,47000,117,48,0,7,12,82.1,28,374,0.1,1,40,0,1
384.25,145,3.9,1,5,6,64.6,25,614,3.44,-4.7,400,47000,117,48,0,7,12,82.1,28,374,0.1,1,25,0,1
384.25,145,3.9,1,5,6,64.6,25,614,3.44,-4.7,400,47000,117,48,0,7,12,82.1,28,374,0.7,1,40,75,0
384.25,145,3.9,1,5,6,64.6,25,614,3.44,-4.7,400,47000,117,48,0,7,12,82.1,28,374,0.7,1,25,75,0
384.25,145,3.9,1,5,6,64.6,25,614,3.44,-4.7,400,47000,117,48,0,7,12,82.1,28,374,0.7,1,40,0,0
384.25,145,3.9,1,5,6,64.6,25,614,3.44,-4.7,400,47000,117,48,0,7,12,82.1,28,374,0.7,1,25,0,0
360.83,80.5,5.2,0,4,7,52.6,25,458,4.86,-5.7,400,47000,117,48,0,7,12,82.1,28,374,0.1,1,40,75,0
360.83,80.5,5.2,0,4,7,52.6,25,458,4.86,-5.7,400,47000,117,48,0,7,12,82.1,28,374,0.1,1,25,75,0
360.83,80.5,5.2,0,4,7,52.6,25,458,4.86,-5.7,400,47000,117,48,0,7,12,82.1,28,374,0.1,1,40,0,0
360.83,80.5,5.2,0,4,7,52.6,25,458,4.86,-5.7,400,47000,117,48,0,7,12,82.1,28,374,0.1,1,25,0,0
