Molecular Weight?g/mol?,Topological Polar Surface Area,Rotatable Bond Count,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Heavy Atom Count,Complexity,Covalently-Bonded Unit Count,Melting Point,,y,
0.130114231,0.18705036,0.081081081,0.222222222,0.192307692,0.132653061,0.086315789,0,0.26175054,0,0.341317365,0
0.141507869,0.29676259,0.135135135,0,0.346153846,0.132653061,0.076842105,0,0.02383325,0,0.54011976,0
0.220742051,0.428057554,0.189189189,0.222222222,0.307692308,0.183673469,0.164561404,0,0.148397276,0,0.404790419,0
0.224233094,0.341726619,0.135135135,0.444444444,0.423076923,0.214285714,0.138596491,0,0.152964624,0,0.185628743,0
0.309469975,0.139748201,0.216216216,0.055555556,0.230769231,0.295918367,0.184561404,0.166666667,0.165421026,0,0.808383234,0
0.122100341,0.016546763,0.054054054,0,0.307692308,0.102040816,0.04245614,0,0.033383159,0,0.586826347,0
0.340796736,0.260791367,0.324324324,0.222222222,0.461538462,0.346938776,0.196842105,0,0.147982063,0,0.532934132,0
0,0.032553957,0,0,0.038461538,0,0.000701754,0,0.148480319,0,0.443113772,0
0.281818071,0.232014388,0.108108108,0.166666667,0.307692308,0.275510204,0.18877193,0.166666667,0.059956818,0,0.649101796,0
0.231538292,0.170503597,0.324324324,0.166666667,0.192307692,0.234693878,0.164561404,0,0.068261086,0,0.611976048,0
0.223773558,0.119784173,0.216216216,0.166666667,0.153846154,0.183673469,0.092982456,0.166666667,0.164175386,0,0.411976048,0
0.221035724,0.130755396,0.189189189,0.277777778,0.153846154,0.214285714,0.107017544,0.166666667,0.166251453,0,0.658682635,0
0.460070927,0.51618705,0.216216216,0.444444444,0.615384615,0.459183673,0.174035088,0.333333333,0.149642916,0,0.51497006,0
0.203821048,0.021582734,0.108108108,0.111111111,0.038461538,0.204081633,0.118947368,0.166666667,0.089852184,0,0.748502994,0
0.517481423,0.325539568,0.135135135,0.222222222,0.346153846,0.469387755,0.463157895,0.166666667,0.192409899,0,0.652694611,0
0.314066778,0.139748201,0.108108108,0.166666667,0.230769231,0.285714286,0.201052632,0.333333333,0.26175054,0,0.670658683,0
0.295394509,0.375899281,0.243243243,0.333333333,0.346153846,0.306122449,0.269122807,0,0.220229198,0,0.293413174,0
0.352244227,0.330935252,0.243243243,0.388888889,0.423076923,0.357142857,0.22,0.166666667,0.157116758,0,0.649101796,0
0.514762976,0.31294964,0.216216216,0.222222222,0.461538462,0.520408163,0.18877193,0.333333333,0.157116758,0,0.649101796,0
0.401057796,0.289568345,0.135135135,0.166666667,0.5,0.408163265,0.34,0,0.214831423,0,0.479041916,0
0.383512828,0.289568345,0.189189189,0.111111111,0.384615385,0.336734694,0.234385965,0.166666667,0.201959807,0,0.735329341,0
0.333161964,0.21942446,0.216216216,0.166666667,0.192307692,0.316326531,0.261754386,0,0.152964624,0,0.724550898,0
0.555770166,0.320143885,0.189189189,0.166666667,0.461538462,0.56122449,0.519298246,0,0.11725627,0,0.640718563,0
0.115697702,0.16852518,0.027027027,0.055555556,0.230769231,0.112244898,0.075789474,0,0.08694569,0,0.434131737,0
0.242547786,0.248201439,0.108108108,0.166666667,0.230769231,0.224489796,0.212631579,0,0.284172064,0,0.467065868,0
0.320543373,0.383093525,0.243243243,0.222222222,0.461538462,0.326530612,0.249473684,0.166666667,0.174555722,0,0.332335329,0
0.26129114,0.131654676,0.054054054,0.222222222,0.192307692,0.255102041,0.209473684,0.166666667,0.203620661,0,0.526946108,0
0.16984477,0.065467626,0.054054054,0.166666667,0.038461538,0.132653061,0.077894737,0.166666667,0.265902674,0,0.538323353,0
0.591590335,0.397482014,0.378378378,0.222222222,0.538461538,0.612244898,0.628070175,0,0.192409899,0,0.622754491,0
0.242256986,0.146582734,0.135135135,0,0.269230769,0.234693878,0.161052632,0.166666667,0.141338648,0,0.479041916,0
0.529188839,0.325539568,0.189189189,0.333333333,0.576923077,0.520408163,0.403508772,0.166666667,0.107291148,0,0.683832335,0
0.29037407,0.235611511,0.297297297,0.166666667,0.423076923,0.285714286,0.156491228,0.166666667,0.112896529,0,0.634730539,0
0.187266956,0,0,0,0,0.102040816,0.036491228,0,0.106045507,0,0.665868263,0
0.28624183,0.078057554,0.27027027,0,0.115384615,0.295918367,0.238596491,0,0.110612855,0,0.6,0
0.39489785,0.370503597,0.135135135,0.388888889,0.461538462,0.387755102,0.342807018,0.166666667,0.203620661,0,0.519161677,0
0.168891231,0.273381295,0.054054054,0.277777778,0.307692308,0.163265306,0.110526316,0,0.108121574,0,0.356287425,0
0.2869218,0.072841727,0.081081081,0.055555556,0.115384615,0.306122449,0.323157895,0,0.173310081,0,0.71257485,0
0.286160693,0.26618705,0.162162162,0.333333333,0.307692308,0.275510204,0.070877193,0.333333333,0.040857,0,0.510778443,0
0.076188315,0.118345324,0,0.111111111,0.076923077,0.081632653,0.096491228,0,0.303271882,0,0.410179641,0
0.16594517,0.060071942,0.054054054,0,0.115384615,0.12244898,0.064210526,0.166666667,0.139677794,0,0.536167665,0
0.072641984,0.113848921,0.135135135,0.111111111,0.115384615,0.071428571,0.029157895,0,0.18285999,0,0.266467066,0
0.317683475,0.253597122,0.108108108,0.222222222,0.346153846,0.306122449,0.341403509,0,0.178292642,0,0.552694611,0
0.393960108,0.347122302,0.351351351,0.222222222,0.423076923,0.387755102,0.241052632,0.166666667,0.093173891,0,0.679640719,0
0.360779403,0.116726619,0.216216216,0,0.269230769,0.346938776,0.243157895,0,0.117505398,0,0.71257485,0
0.271644359,0.076258993,0.135135135,0.055555556,0.153846154,0.255102041,0.214385965,0.166666667,0.084869623,0,0.616766467,0
