"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
0.263902153800391,1,0.142857142857143,0.142857142857143,0.307692307692308,0.194132029339853,0.204081632653061,0.116564417177914,0.0587084148727984,0.101021438994275,0.8,0.904255319148936,0,0,0,0,0,0,0.276,0.523,0.647,0.751
0.0627359432846659,0.3125,0.142857142857143,0.142857142857143,0,0.277750611246944,0.0612244897959184,0.0901840490797546,0.821917808219178,0.550005612302166,1,0.265957446808511,0,0,0.5,0.227848101265823,0,0,0.187,0.252,0.32,0.387
0.369959070356119,0.84375,0.285714285714286,0.357142857142857,0.538461538461538,0.38239608801956,0.346938775510204,0.152147239263804,0.273972602739726,0.325513525648221,0.6,0.159574468085106,0,0,1,0.623417721518987,0,0,0.256,0.432,0.57,0.667
0.189887592937413,0.609375,0.285714285714286,0.214285714285714,0.692307692307692,0.18679706601467,0.183673469387755,0.0582822085889571,0.450097847358121,0.213267482321248,0.4,0.372340425531915,0,0,0.5,0.468354430379747,0,0,0.349,0.534,0.703,0.839
0.189887592937413,0.609375,0.285714285714286,0.214285714285714,0.692307692307692,0.18679706601467,0.183673469387755,0.0582822085889571,0.450097847358121,0.213267482321248,0.8,0.372340425531915,0,0,0.5,0.468354430379747,0,0,0.279,0.425,0.542,0.636
1,0.9375,0.857142857142857,1,0.384615384615385,1,1,1,0.156555772994129,1,0.4,0.0426595744680851,0,0,0,0,0,0,0.471,0.766,0.855,0.896
0.0831891002039921,0.296875,0,0.142857142857143,0,0.224449877750611,0.0816326530612245,0.106134969325153,0.808219178082192,0.101021438994275,0.6,0,0,0,0.5,0.712658227848101,1,0.705,0.973,0.998,1,1
0.516070754187378,0.90625,0.142857142857143,0.357142857142857,1,0.251833740831296,0.489795918367347,0.298159509202454,0,0.325513525648221,0.4,0.0531914893617021,0,0,0.5,0.240506329113924,1,1,0.468,0.76,0.851,0.89
0.23135382780387,0.78125,0.428571428571429,0.142857142857143,0.461538461538462,0.141809290953545,0.204081632653061,0.0840490797546012,0.313111545988258,0.505443933101358,0.6,0.0882978723404255,1,1,0,0,0,0,0.471,0.688,0.822,0.898
0.501240137588928,0,1,0.571428571428571,0.153846153846154,0.828850855745721,0.469387755102041,0.522085889570552,0.38747553816047,0.428555393422382,0.6,0.572021276595745,0,0,0,0,0,0,0.259,0.404,0.518,0.609
0,0.203125,0.285714285714286,0.142857142857143,0.0769230769230769,0.271393643031785,0,0,1,0.908856212818498,0.4,0.121170212765957,0,0,0,0,0,0,0.953,1,1,1
0.516070754187378,0.90625,0.142857142857143,0.357142857142857,1,0.251833740831296,0.489795918367347,0.298159509202454,0,0.325513525648221,1,0.372340425531915,0,0,0.5,0.240506329113924,1,0.25,0.107,0.135,0.162,0.225
0.100819321941468,0.859375,0.142857142857143,0.0714285714285714,0.307692307692308,0.121271393643032,0.102040816326531,0.050920245398773,0.217221135029354,0.213267482321248,0.6,0.0319148936170213,0.9,0.200400801603206,1,0.810126582278481,0,0,0.725,1,1,1
0.144547112834294,0.703125,0.142857142857143,0,0,0.165281173594132,0.163265306122449,0.12638036809816,0.371819960861057,0.325513525648221,1,0.0531914893617021,0,0,0.5,0.506329113924051,1,0.475,0.226,0.371,0.566,0.587
0.449680742945214,0.609375,0.428571428571429,0.357142857142857,0.538461538461538,0.618581907090465,0.428571428571429,0.35398773006135,0.136986301369863,0.0625210461331238,0.8,0.191382978723404,0.3,0.904809619238477,0.5,0.415696202531646,0,0,0.0949,0.185,0.293,0.407
0.0627359432846659,0.3125,0.142857142857143,0.142857142857143,0,0.277750611246944,0.0612244897959184,0.0901840490797546,0.821917808219178,0.101021438994275,0.6,0.0531914893617021,0,0,1,1,0,0,0.739,0.947,1,1
0.23135382780387,0.78125,0.428571428571429,0.142857142857143,0.461538461538462,0.141809290953545,0.204081632653061,0.0840490797546012,0.313111545988258,0.505443933101358,0.6,0.512978723404255,1,0,0,0,0,0,0.234,0.355,0.451,0.533
0.100819321941468,0.859375,0.142857142857143,0.0714285714285714,0.307692307692308,0.121271393643032,0.102040816326531,0.050920245398773,0.217221135029354,0.213267482321248,0.6,0.117021276595745,0.8,0.801603206412826,1,0.40506329113924,0,0,0.238,0.379,0.49,0.619
0.0415318506119033,0.109375,0.571428571428571,0,0.153846153846154,0.386308068459658,0,0.00736196319018405,0.60665362035225,0.550005612302166,1,0.265957446808511,0,0,1,0.240506329113924,0,0,0.487,0.699,0.84,0.924
0.322671989804771,0.546875,0.285714285714286,0.285714285714286,0.153846153846154,0.387286063569682,0.326530612244898,0.395092024539877,0.313111545988258,0.101021438994275,1,0.904255319148936,0,0,0,0,0,0,0.0386,0.0773,0.118,0.15
