MW(g/mol),melting point( ??,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Topological Polar Surface Area(A^2),Heavy Atom Count,Complexity,logS,Polymer code,Drug loading ratio,Preparation method(hot melt extrution-1=1?solvent evaporation=2=2?,temperature???,Relative Humidity?%?,3month?stabable=1?not stable=0?
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,3,0.3,2,120,0,0
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,3,0.3,2,25,84,0
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,2,0.4,2,25,0,1
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,2,0.4,2,50,0,0
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,2,0.4,2,90,0,0
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,2,0.4,2,120,0,0
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,2,0.4,2,25,84,0
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,12,0.4,2,25,0,1
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,12,0.4,2,50,0,1
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,12,0.4,2,120,0,1
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,12,0.4,2,25,84,1
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,13,0.4,2,25,0,1
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,13,0.4,2,50,0,1
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,13,0.4,2,90,0,1
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,13,0.4,2,120,0,1
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,13,0.4,2,25,84,1
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,5,0.4,2,25,0,1
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,5,0.4,2,50,0,1
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,5,0.4,2,90,0,0
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,5,0.4,2,120,0,0
228.2433,254,2.57,0,3,8,27.7,29,499,-3.5,5,0.4,2,25,84,1
487.4015,97,5.3,1,4,6,82.5,32,791,-8.1,12,0.2,2,5,60,1
487.4015,97,5.3,1,4,6,82.5,32,791,-8.1,12,0.2,2,40,75,0
487.4015,97,5.3,1,4,6,82.5,32,791,-8.1,12,0.2,2,25,60,1
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,13,0.25,2,40,75,0
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,13,0.25,2,25,95,0
531.43092,146,4.3,0,6,7,69.1,36,735,-4.8,13,0.3,2,24,36,1
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,13,0.3,2,24,36,1
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,13,0.7,2,24,35,1
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,11,0.6,2,24,48,0
346.33462,173,2.7,1,7,5,110,25,608,-4.3,13,0.3,2,24,37,1
346.33462,173,2.7,1,7,5,110,25,608,-4.3,13,0.4,2,24,35,1
346.33462,173,2.7,1,7,5,110,25,608,-4.3,13,0.7,2,24,35,1
357.78764,151,4.3,1,4,4,68.5,25,506,-5.2,13,0.5,2,24,35,1
346.33462,173,2.7,1,7,5,110,25,608,-4.3,13,0.95,2,25,0,1
346.33462,173,2.7,1,7,5,110,25,608,-4.3,13,0.95,2,35,0,1
346.33462,173,2.7,1,7,5,110,25,608,-4.3,13,0.95,2,40,0,0
232.23528,174,1.5,2,3,2,75.3,17,339,-2.9,13,0.95,2,25,0,1
232.23528,174,1.5,2,3,2,75.3,17,339,-2.9,13,0.95,2,35,0,1
232.23528,174,1.5,2,3,2,75.3,17,339,-2.9,13,0.95,2,40,0,1
232.23528,174,1.5,2,3,2,75.3,17,339,-2.9,13,0.95,2,50,0,0
232.23528,174,1.5,2,3,2,75.3,17,339,-2.9,13,0.95,2,70,0,0
357.78764,151,4.3,1,4,4,68.5,25,506,-5.2,13,0.5,2,25,75,0
357.78764,151,4.3,1,4,4,68.5,25,506,-5.2,13,0.8,2,25,75,0
357.78764,151,4.3,1,4,4,68.5,25,506,-5.2,1,0.8,2,25,75,0
230.25916,153,3.3,1,3,3,46.5,17,277,-4.16,13,0.5,2,25,75,0
230.25916,153,3.3,1,3,3,46.5,17,277,-4.16,13,0.8,2,25,75,0
230.25916,153,3.3,1,3,3,46.5,17,277,-4.16,1,0.5,2,25,75,0
230.25916,153,3.3,1,3,3,46.5,17,277,-4.16,1,0.8,2,25,75,0
403.96864,97,4.2,1,5,6,55.2,27,463,-4.16,13,5,2,25,60,0
315.67497,140,4,1,5,1,38.3,21,519,-4.6,13,0.85,2,72,11,0
230.25916,153,3.3,1,3,3,46.5,17,277,-4.16,2,0.1,2,50,0,1
230.25916,153,3.3,1,3,3,46.5,17,277,-4.16,2,0.5,2,24,0,1
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,13,0.75,2,25,0,1
384.25376,145,3.9,1,5,6,64.6,25,614,-4.7,13,0.75,2,25,52,1
