"MW.g.mol.","melting.point..__","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Polymers","Drug.loading.ratio","Preparation.method.hot.melt.extrution.1.1_solvent.evaporation.2.2_","temperature___","Relative.Humidity_._","X3month_stabable.1_not.stable.0_","X6month_stabable.1_not.stable.0_"
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,11,0.4,2,120,0,0,0
228.24,254,2.57,0,3,8,27.7,29,499,-3.5,11,0.4,2,25,84,1,1
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,5,0.25,2,25,95,0,0
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,5,0.3,2,24,36,1,1
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,8,0.6,2,24,48,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,5,0.3,2,24,37,1,1
346.33,173,2.7,1,7,5,110,25,608,-4.3,5,0.4,2,24,35,1,1
346.33,173,2.7,1,7,5,110,25,608,-4.3,5,0.7,2,24,35,1,1
357.79,151,4.3,1,4,4,68.5,25,506,-5.2,5,0.5,2,24,35,1,1
346.33,173,2.7,1,7,5,110,25,608,-4.3,5,0.95,2,25,0,1,1
346.33,173,2.7,1,7,5,110,25,608,-4.3,5,0.95,2,35,0,1,1
346.33,173,2.7,1,7,5,110,25,608,-4.3,5,0.95,2,40,0,0,0
346.33,173,2.7,1,7,5,110,25,608,-4.3,5,0.95,2,50,0,0,0
232.24,174,1.5,2,3,2,75.3,17,339,-2.9,5,0.95,2,25,0,1,1
232.24,174,1.5,2,3,2,75.3,17,339,-2.9,5,0.95,2,40,0,1,1
232.24,174,1.5,2,3,2,75.3,17,339,-2.9,5,0.95,2,50,0,0,0
357.79,151,4.3,1,4,4,68.5,25,506,-5.2,5,0.8,2,25,75,0,0
357.79,151,4.3,1,4,4,68.5,25,506,-5.2,7,0.8,2,25,75,0,0
230.26,153,3.3,1,3,3,46.5,17,277,-4.16,5,0.5,2,25,75,0,0
230.26,153,3.3,1,3,3,46.5,17,277,-4.16,7,0.8,2,25,75,0,0
232.24,174,1.5,2,3,2,75.3,17,339,-2.9,5,0.95,2,70,0,0,0
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,5,0.75,2,25,0,1,1
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,5,0.75,2,25,33,1,1
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,5,0.5,2,25,0,1,1
384.25,145,3.9,1,5,6,64.6,25,614,-4.7,5,0.5,2,25,33,1,1
368.5139,192,5.8,0,2,6,6.5,28,429,8.4,2,0.1,1,25,0,1,0
