Molecular Weight?g/mol?,Topological Polar Surface Area,Rotatable Bond Count,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Heavy Atom Count,Complexity,Covalently-Bonded Unit Count,Melting Point,y,,
0.216310594,0.30702836,0.227272727,0.214285714,0.24,0.189873418,0.195737277,0,0.557197389,0.142322097,0,0
0.2348769,0.319358816,0.090909091,0.142857143,0.24,0.215189873,0.259678121,0,0.704962443,0.812734082,0,0
0.158394252,0.127250308,0.045454545,0.071428571,0.12,0.17721519,0.159199652,0,0.52659771,0.883895131,0,0
0.381597101,0.163748459,0.318181818,0.071428571,0.12,0.417721519,0.347977381,0,0.729589952,0.771535581,0,0
0.162436306,0.063625154,0.227272727,0.142857143,0.04,0.151898734,0.08568943,0.5,0.13391208,1,0,0
0.174967844,0.064611591,0.045454545,0,0.04,0.17721519,0.161809482,0,0.309383081,0.958801498,0,0
0.184912539,0.086313194,0.272727273,0.214285714,0.08,0.17721519,0.09830361,0.5,0.218569142,0.861423221,0,0
0.347261659,0.509247842,0.409090909,0.285714286,0.44,0.35443038,0.295780774,0.5,0.523334565,0.359550562,0,0
0.228132952,0.109001233,0.5,0.214285714,0.12,0.215189873,0.11091779,0.5,0.141608176,0.775280899,0,0
0.093579362,0.127990136,0,0,0.08,0.101265823,0.113962592,0,0.655707425,0.925093633,0,0
0.191699631,0.137607891,0.227272727,0.071428571,0.16,0.202531646,0.168334058,0,0.104666913,0.730337079,0,0
0.191239429,0.021701603,0.181818182,0.142857143,0.04,0.189873418,0.102653328,0.5,0.587981776,0.827715356,0,0
0.327503499,0.50431566,0.409090909,0.357142857,0.44,0.341772152,0.292735972,0,0.523334565,0.359550562,0,0
0.216856186,0.250308261,0.090909091,0.142857143,0.2,0.215189873,0.252283602,0,0.535648319,0.91011236,0,0
0.296420935,0.24784217,0.181818182,0.142857143,0.28,0.291139241,0.223140496,0.5,0.781923408,0.943820225,0,0
0.165540878,0.100369914,0.090909091,0.071428571,0.08,0.17721519,0.141365811,0.5,0.803472479,0.865168539,0,0
0.324385445,0.192108508,0.318181818,0.071428571,0.2,0.303797468,0.232274902,0.5,0.500246275,0.936329588,0,0
0.158427509,0.192601726,0.363636364,0.214285714,0.12,0.164556962,0.100913441,0,0.412510775,0.164794007,0,0
0.24746866,0.373612824,0.181818182,0.285714286,0.24,0.240506329,0.243149195,0,0.520256126,0.292134831,0,0
0.197135777,0.186189889,0.272727273,0.285714286,0.16,0.202531646,0.136146151,0,0.323236055,0.550561798,0,0
0.2361101,0.159309494,0.136363636,0,0.2,0.227848101,0.236624619,0,0.60029553,0.913857678,0,0
0.14584294,0.265104809,0.318181818,0.214285714,0.12,0.139240506,0.115267508,0,0.360177318,0.370786517,0,0
0.121455787,0.2675709,0.181818182,0.214285714,0.12,0.126582278,0.120487168,0,0.708040882,0.27340824,0,0
0.104447159,0.07595561,0.181818182,0.071428571,0.04,0.113924051,0.074815137,0,0.157769979,0.973782772,0,0
0.201628147,0.260172626,0.409090909,0.142857143,0.24,0.189873418,0.137451066,0,0.136990518,0.213483146,0,0
0.186639198,0.316892725,0.045454545,0.214285714,0.24,0.139240506,0.20139191,0,0.744982145,0.307116105,0,0
0.141213947,0.284833539,0.181818182,0.142857143,0.24,0.139240506,0.089604176,0.5,0.708040882,0.27340824,0,0
0.158615365,0.073736128,0.090909091,0.214285714,0,0.113924051,0.0830796,0.5,0.861962812,0.857677903,0,0
0.279106703,0.090998767,0.318181818,0,0.08,0.291139241,0.281861679,0,0.40019702,0.951310861,0,0
0.129666632,0.063625154,0.227272727,0.071428571,0.04,0.139240506,0.08568943,0,0.13391208,1,0,0
0.277033993,0.1297164,0.227272727,0.071428571,0.16,0.227848101,0.18399304,0.5,0.615687723,0.269662921,0,0
0.203847367,0,0.181818182,0.071428571,0.04,0.202531646,0.113092649,0.5,0.460226573,0.760299625,0,0
0.307769607,0.435265105,0.409090909,0.285714286,0.44,0.291139241,0.173118747,0.5,0.544883635,0.760299625,0,0
0.082773585,0.282367448,0.227272727,0.428571429,0.2,0.075949367,0.032187908,0,0.440216722,0.25093633,0,0
0.089485175,0.147965475,0.090909091,0.285714286,0.08,0.075949367,0.038277512,0.5,0.317079177,0.692883895,0,0
0.124205319,0.082860666,0.181818182,0,0.04,0.126582278,0.076989996,0.5,0.157769979,0.973782772,0,0
0.12584569,0.073736128,0.090909091,0.142857143,0,0.101265823,0.0830796,0,0.861962812,0.857677903,0,0
