"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Ratio..g.ml.","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","Name.3","Ratio..g.ml..4","y"
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0535878564857406,0.25,0.014,0.125,0.25,0.333333333333333,0.55,0.01
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0535878564857406,0.25,0.02,0.125,0.25,0.333333333333333,0.55,0.03
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0363385464581417,0.25,0.02,0.125,0.25,0.333333333333333,0.925,0.05
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0708371665133395,0.25,0.02,0.125,0.25,0.333333333333333,0.1875,0.05
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0696872125114995,0.25,0.0265,0.125,0.25,0.333333333333333,0.1875,0.07
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0363385464581417,0.25,0.014,0.125,0.25,0.333333333333333,0.925,0.05
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0530128794848206,0.25,0.0265,0.125,0.25,0.333333333333333,0.55,0.06
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0604875804967801,0.25,0.0235,0.125,0.25,0.333333333333333,0.1625,0.11
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0357635694572217,0.25,0.026,0.125,0.25,0.333333333333333,0.9125,0.03
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0570377184912604,0.25,0.015,0.125,0.25,0.333333333333333,0.5875,0.02
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0696872125114995,0.5,0.0265,0.125,0.25,0.333333333333333,0.1875,0.1
0.713100122138361,0.584905660377358,0.5,0.666666666666667,0.777777777777778,0.474538745387454,0.727272727272727,0.737735849056604,0.622406639004149,0.022235759975632,0,0.0530128794848206,0.5,0.0265,0.125,0.25,0.333333333333333,0.55,0.06
