265.35,3.3,0,3,0,19.4,20,345,6.67,-2.4,45,1,285,0,0,1,195,1,25,0,0,2,10,0,0,0,0,30
265.35,3.3,0,3,0,19.4,20,345,6.67,-2.4,45,1,188,2,125,1,175,1,25,0,0,2,8.7,0,0,0,0,31
265.35,3.3,0,3,0,19.4,20,345,6.67,-2.4,45,1,264,0,0,1,195,1,25,0,0,2,10,0,0,0,0,24
297.74,-0.1,3,7,1,135,17,494,7.9,-2.62,50,3,133.6,0,0,0,0,1,8,2,8,1,15,2,4,0,0,10
297.74,-0.1,3,7,1,135,17,494,7.9,-2.62,50,0,0,0,0,0,0,1,8,2,8,1,15,2,4,0,0,21
337.45,-0.6,4,8,7,238,20,469,8.38,-3.1,20,1,75.66,0,0,0,0,3,6.24,0,0,2,0.5,0,0,0,0,17.19
337.45,-0.6,4,8,7,238,20,469,8.38,-3.1,20,1,71.76,0,0,0,0,1,2.34,0,0,2,0.5,0,0,0,0,22.91
337.45,-0.6,4,8,7,238,20,469,8.38,-3.1,20,4,71.6,0,0,0,0,1,2.34,0,0,2,0.5,0,0,0,0,11.69
337.45,-0.6,4,8,7,238,20,469,8.38,-3.1,20,0,0,0,0,0,0,1,2.34,0,0,2,0.5,0,0,0,0,14.63
337.45,-0.6,4,8,7,238,20,469,8.38,-3.1,20,4,75.66,0,0,0,0,3,6.24,0,0,2,0.5,0,0,0,0,30.27
337.45,-0.6,4,8,7,238,20,469,8.38,-3.1,20,0,0,0,0,0,0,3,6.24,0,0,2,0.5,0,0,0,0,12.48
337.45,-0.6,4,8,7,238,20,469,8.38,-3.1,20,1,66.3,0,0,2,11.7,0,0,0,0,2,0.5,0,0,0,0,11.42
337.45,-0.6,4,8,7,238,20,469,8.38,-3.1,20,4,66.3,0,0,2,11.7,0,0,0,0,2,0.5,0,0,0,0,47.25
337.45,-0.6,4,8,7,238,20,469,8.38,-3.1,20,0,0,0,0,2,11.7,0,0,0,0,2,0.5,0,0,0,0,52.21
