"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,30,0,0,1,18,0,0,17,25,32.4,38.7
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,30,0,0,1,18,0,0,18.8,25,32.2,38.8
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,30,0,0,1,18,0,0,18.7,25.2,32,38.7
180.167,0,1,3,0,69.3,13,267,-0.9,60,5,40,0,0,0,0,0,0,17.3,25.4,31.9,38.8
180.167,0,1,3,0,69.3,13,267,-0.9,70,5,30,0,0,0,0,0,0,21.5,29.9,37.9,44.9
137.142,-0.7,2,3,1,68,10,120,0.01,54.95,3,43.96,0,0,0,0,0,0,43.2,69.8,80.4,87.5
137.142,-0.7,2,3,1,68,10,120,0.01,61.73,5,37.04,0,0,0,0,0,0,42.7,64.7,74.8,81.9
137.142,-0.7,2,3,1,68,10,120,0.01,61.73,6,37.04,0,0,0,0,0,0,42,62.6,72.2,79.5
137.142,-0.7,2,3,1,68,10,120,0.01,75.76,3,22.73,0,0,0,0,0,0,66.6,99.2,100,100
137.142,-0.7,2,3,1,68,10,120,0.01,81.97,3,16.39,0,0,0,0,0,0,95.3,100,100,100
